time	value	variableName	run
8.60	 11.557	V	1
8.60	  0.239	P	1
8.65	 12.644	V	1
8.65	  0.234	P	1
8.70	 13.834	V	1
8.70	  0.230	P	1
8.75	 15.138	V	1
8.75	  0.226	P	1
8.80	 16.566	V	1
8.80	  0.223	P	1
8.85	 18.130	V	1
8.85	  0.221	P	1
8.90	 19.843	V	1
8.90	  0.220	P	1
8.95	 21.718	V	1
8.95	  0.220	P	1
9.00	 23.770	V	1
9.00	  0.221	P	1
9.05	 26.015	V	1
9.05	  0.223	P	1
9.10	 28.472	V	1
9.10	  0.227	P	1
9.15	 31.157	V	1
9.15	  0.232	P	1
9.20	 34.093	V	1
9.20	  0.238	P	1
9.25	 37.299	V	1
9.25	  0.246	P	1
9.30	 40.799	V	1
9.30	  0.257	P	1
9.35	 44.617	V	1
9.35	  0.270	P	1
9.40	 48.777	V	1
9.40	  0.287	P	1
9.45	 53.305	V	1
9.45	  0.308	P	1
9.50	 58.225	V	1
9.50	  0.333	P	1
9.55	 63.563	V	1
9.55	  0.365	P	1
9.60	 69.339	V	1
9.60	  0.405	P	1
9.65	 75.570	V	1
9.65	  0.455	P	1
9.70	 82.268	V	1
9.70	  0.518	P	1
9.75	 89.429	V	1
9.75	  0.599	P	1
9.80	 97.034	V	1
9.80	  0.703	P	1
9.85	105.032	V	1
9.85	  0.838	P	1
9.90	113.335	V	1
9.90	  1.016	P	1
9.95	121.789	V	1
9.95	  1.253	P	1
